,Municipio,Colonia,Población Total,Población masculina,Población femenina,Población de 0 a 2 años,Población masculina de 0 a 2 años ,Población femenina de 0 a 2 años,Población 3 y más años,Población masculina 3 y más años,Población femenina 3 y más años,Población 5 y más años,Población masculina 5 y más años,Población femenina 5 y más años,Población 12 y más años,Población masculina 12 y más años,Población femenina 12 y más años,Población 15 y más años,Población masculina 15 y más años,Población femenina 15 y más años,Población 18 y más años,Población masculina 18 y más años,Población femenina 18 y más años,Población de 3 a 5 años,Población masculina de 3 a 5 años,Población femenina de 3 a 5 años,Población de 6 a 11 años,Población masculina de 6 a 11 años,Población femenina de 6 a 11 años,Población de 8 a 14 años,Población masculina de 8 a 14 años,Población femenina de 8 a 14 años,Población de 12 a 14 años,Población masculina de 12 a 14 años,Población femenina de 12 a 14 años,Población de 15 a 17 años,Población masculina de 15 a 17 años,Población femenina de 15 a 17 años,Población de 18 a 24 años,Población masculina de 18 a 24 años,Población femenina de 18 a 24 años,Población femenina de 15a 49 años,Población de 60 años y más,Población masculina de 60 años y más,Población femenina de 60 años y más,Población de 0 a 14 años,Población de 15 a 64 años,Población de 65 años y más,Relación hombres-mujeres,Población de 3 a 5 años que no asiste a la escuela,Población masculina de 3 a 5 años que no asiste a la escuela,Población femenina de 3 a 5 años que no asiste a la escuela,Población de 6 a 11 años que no asiste a la escuela,Población masculina de 6 a 11 años que no asiste a la escuela,Población femenina de 6 a 11 años que no asiste a la escuela,Población de 12 a 14 años que no asiste a la escuela,Población masculina de 12 a 14 años que no asiste a la escuela,Población femenina de 12 a 14 años que no asiste a la escuela,Población de 15 a 17 años que asiste a la escuela,Población masculina de 15 a 17 años que asiste a la escuela,Población femenina de 15 a 17 años que asiste a la escuela,Población de 18 a 24 años que asiste a la escuela,Población masculina de 18 a 24 años que asiste a la escuela,Población femenina de 18 a 24 años que asiste a la escuela,Población de 8 a 14 años que no saben leer y escribir,Población masculina de 8 a 14 años que no saben leer y escribir,Población femenina de 8 a 14 años que no saben leer y escribir,Población de 15 años y más analfabeta,Población masculina de 15 años y más analfabeta,Población femenina de 15 años y más analfabeta,Población de 15 años y más sin escolaridad,Población masculina de 15 años y más sin escolaridad,Población femenina de 15 años y más sin escolaridad,Población de 15 años y más con primaria incompleta,Población masculina de 15 años y más con primaria incompleta,Población femenina de 15 años y más con primaria incompleta,Población de 15 años y más con primaria completa,Población masculina de 15 años y más con primaria completa,Población femenina de 15 años y más con primaria completa,Población de 15 años y más con secundaria incompleta,Población masculina de 15 años y más con secundaria incompleta,Población femenina de 15 años y más con secundaria incompleta,Población de 15 años y más con secundaria completa,Población masculina de 15 años y más con secundaria completa,Población femenina de 15 años y más con secundaria completa,Población de 18 años y más con educación pos-básica,Población masculina de 18 años y más con educación pos-básica,Población femenina de 18 años y más con educación pos-básica,Grado promedio de escolaridad,Grado promedio de escolaridad de la población masculina,Grado promedio de escolaridad de la población femenina
0,Guadalajara,18 DE MARZO,3694,1715,1978,82,26,24,3550,1638,1912,3461,1594,1867,3138,1450,1688,2974,1364,1610,2815,1291,1524,95,37,27,280,100,147,358,156,176,148,60,48,147,33,54,438,216,193,967,688,313,375,695,2525,449,87.79,13,0,6,0,0,0,0,0,0,107,21,41,208,85,71,0,0,0,3,0,0,20,0,10,140,25,70,343,105,198,44,9,15,457,201,238,1705,839,866,11.2,11.7,10.77
1,Guadalajara,18 DE MARZO (ANEXO),3682,1753,1914,153,72,69,3501,1669,1832,3375,1616,1759,2943,1389,1554,2784,1300,1484,2590,1207,1383,174,67,87,383,199,184,412,224,186,155,75,57,192,87,91,518,280,237,1006,446,198,246,878,2513,271,92.65,71,20,29,3,0,0,3,0,0,134,54,66,180,90,73,0,0,0,54,5,30,114,25,68,227,99,117,359,151,198,105,36,42,651,331,320,1198,566,632,9.76,9.96,9.56
2,Guadalajara,1o. DE MAYO,3389,1681,1708,157,82,51,3127,1535,1592,3005,1476,1529,2585,1258,1327,2414,1162,1252,2232,1073,1159,182,83,74,350,174,165,400,217,171,160,78,64,177,73,75,482,230,250,924,305,133,154,879,2219,186,100.31,71,28,18,3,0,0,0,0,0,112,39,36,83,19,28,0,0,0,51,20,10,121,45,47,278,101,161,462,223,237,108,46,36,762,370,390,562,284,276,8.21,8.32,8.06
3,Guadalajara,5 DE MAYO 1a. SECCIÓN,4032,1968,2058,203,76,79,3737,1821,1916,3592,1751,1841,3090,1497,1593,2872,1382,1490,2658,1275,1383,193,76,82,431,213,203,519,261,238,204,91,82,205,84,90,611,294,309,1121,297,118,149,1076,2677,178,98.99,66,3,25,0,0,0,0,0,0,132,41,48,178,68,67,0,0,0,53,6,34,135,38,63,283,107,151,476,203,242,153,80,44,788,401,379,912,434,471,8.63,8.63,8.6
4,Guadalajara,5 DE MAYO 2a. SECCIÓN,12265,6052,6181,580,234,210,11169,5516,5653,10718,5288,5430,9280,4542,4738,8693,4226,4467,7975,3867,4108,608,242,221,1247,636,551,1417,730,649,553,243,188,700,300,290,1958,1000,948,3459,781,308,374,3084,8203,449,98.03,221,66,66,6,0,0,3,0,0,426,153,147,550,238,205,0,0,0,116,6,38,258,39,107,599,185,293,1712,769,924,408,184,111,2403,1197,1201,2865,1446,1404,8.94,9.14,8.74
5,Guadalajara,8 DE JULIO,3393,1565,1827,81,37,19,3162,1445,1717,3097,1414,1683,2785,1250,1535,2643,1174,1469,2509,1121,1388,77,33,28,279,137,121,336,175,148,132,59,51,125,32,71,347,153,183,922,593,238,353,612,2223,418,86.01,3,0,0,0,0,0,0,0,0,103,26,58,181,67,91,0,0,0,7,0,3,34,4,10,190,45,119,301,120,171,44,10,7,368,170,189,1504,707,797,11.0,11.38,10.71
6,Guadalajara,AARÓN JOAQUÍN,7644,3783,3820,370,200,150,7216,3572,3644,6916,3399,3517,5811,2824,2987,5291,2569,2722,4792,2320,2470,449,244,191,949,491,456,1175,607,567,518,250,256,497,238,247,1174,577,597,2245,358,160,171,2297,5067,221,99.09,185,103,47,0,0,0,3,0,0,373,157,197,393,181,197,0,0,0,81,7,21,138,41,58,349,151,167,802,365,433,266,134,99,1416,676,740,2055,1046,1009,9.27,9.31,9.22
7,Guadalajara,ACADEMIA DE POLICÍA (IRREGULAR),628,295,318,26,7,17,561,275,286,544,264,280,444,220,224,407,202,205,368,186,182,22,8,13,79,31,38,87,33,47,31,9,17,30,13,17,70,30,31,173,15,4,4,188,395,6,101.94,3,0,0,0,0,0,0,0,0,28,12,16,27,12,5,0,0,0,0,0,0,0,0,0,13,3,3,31,4,18,14,5,8,71,45,22,230,117,109,11.95,12.38,11.61
8,Guadalajara,AGRARIA,245,115,125,6,0,0,231,111,120,223,109,114,199,95,104,187,87,100,171,80,91,15,3,7,15,10,3,23,12,4,11,6,3,15,7,8,38,20,16,76,20,6,10,52,174,12,96.38,0,0,0,0,0,0,0,0,0,14,7,7,28,15,11,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,11,3,8,147,75,72,13.76,14.48,13.08
9,Guadalajara,AGUSTÍN YÁÑEZ,4088,2004,2071,191,94,81,3818,1865,1953,3675,1800,1875,3116,1505,1611,2915,1404,1511,2677,1294,1383,211,93,105,490,257,230,534,275,257,200,97,91,237,102,123,528,270,258,1093,401,175,221,1095,2650,265,96.0,93,31,41,9,6,0,3,3,0,157,58,83,144,55,68,4,3,0,70,17,36,89,30,46,294,132,156,509,219,282,178,91,66,752,397,355,985,472,509,8.89,9.05,8.73
10,Guadalajara,ÁLAMO INDUSTRIAL,4362,2091,2264,156,64,58,4094,1957,2137,3996,1905,2091,3552,1669,1883,3378,1578,1800,3185,1485,1700,136,52,47,394,202,180,453,235,207,160,72,65,182,75,85,549,272,270,1169,525,244,277,878,3119,251,97.24,12,0,0,0,0,0,0,0,0,154,55,70,256,121,123,0,0,0,12,3,7,15,0,7,144,36,87,316,108,194,69,37,7,524,264,255,2065,998,1061,11.26,11.54,11.05
11,Guadalajara,ALCARAZ,1043,479,556,42,14,21,953,439,514,930,426,504,811,371,440,762,344,418,710,325,385,34,16,13,101,47,51,115,53,56,42,17,16,50,8,24,137,65,66,282,113,30,74,237,671,88,86.86,11,3,4,0,0,0,0,0,0,42,3,22,53,19,28,0,0,0,0,0,0,10,0,3,43,18,25,88,20,58,22,9,3,170,87,73,376,177,199,10.61,10.94,10.31
12,Guadalajara,ALDAMA TETLÁN,14435,7065,7338,755,351,312,13574,6637,6937,13051,6380,6671,11136,5427,5709,10311,5026,5285,9469,4602,4867,756,338,350,1664,821,820,1959,948,995,815,352,366,826,387,376,2083,1062,1012,3918,1257,583,638,4029,9528,771,97.22,296,81,93,10,3,0,15,0,3,489,181,190,496,198,195,0,0,0,229,27,109,441,130,206,1064,455,558,1981,891,1079,491,249,136,2982,1530,1448,2915,1412,1497,8.5,8.59,8.41
13,Guadalajara,ALDRETE,631,294,337,23,12,8,476,214,262,462,208,254,414,187,227,400,180,220,383,174,209,21,9,11,41,17,24,41,18,23,14,4,3,17,4,11,58,23,35,150,84,38,46,99,343,57,84.48,0,0,0,0,0,0,0,0,0,15,4,7,29,13,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,19,4,11,355,170,185,14.83,15.7,14.13
14,Guadalajara,ALTAMIRANO,66,27,39,4,0,3,62,26,36,59,26,33,52,24,28,50,24,26,48,23,25,4,0,4,6,0,4,7,0,5,0,0,0,0,0,0,0,0,0,16,13,6,7,16,46,4,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,42,22,20,14.84,15.67,14.08
